[Header]
Application Name,LabSolutions
12.26667,-924
12.27500,-924
12.28333,-924
12.29167,-924
12.30000,-925
12.30833,-925
12.31667,-925
12.32500,-925
12.33333,-926
12.34167,-926
12.35000,-926
12.35833,-926
12.36667,-926
12.37500,-927
12.38333,-927
12.39167,-927
12.40000,-927
12.40833,-927
12.41667,-927
12.42500,-928
12.43333,-928
12.44167,-928
12.45000,-928
12.45833,-929
12.46667,-929
12.47500,-930
12.48333,-930
12.49167,-931
12.50000,-931
12.50833,-931
12.51667,-932
12.52500,-932
12.53333,-932
12.54167,-933
12.55000,-933
12.55833,-934
12.56667,-934
12.57500,-935
12.58333,-935
12.59167,-936
12.60000,-936
12.60833,-937
12.61667,-938
12.62500,-938
12.63333,-939
12.64167,-939
12.65000,-940
12.65833,-940
12.66667,-941
12.67500,-941
12.68333,-942
12.69167,-942
12.70000,-943
12.70833,-943
12.71667,-944
12.72500,-944
12.73333,-944
12.74167,-945
12.75000,-945
12.75833,-946
12.76667,-947
12.77500,-948
12.78333,-949
12.79167,-949
12.80000,-949
12.80833,-950
12.81667,-950
12.82500,-951
12.83333,-952
12.84167,-952
12.85000,-953
12.85833,-953
12.86667,-954
12.87500,-954
12.88333,-954
12.89167,-955
12.90000,-956
12.90833,-956
12.91667,-957
12.92500,-958
12.93333,-959
12.94167,-959
12.95000,-959
12.95833,-960
12.96667,-961
12.97500,-961
12.98333,-962
12.99167,-962
13.00000,-963
13.00833,-963
13.01667,-964
13.02500,-964
13.03333,-964
13.04167,-965
13.05000,-966
13.05833,-966
13.06667,-967
13.07500,-968
13.08333,-969
13.09167,-969
13.10000,-970
13.10833,-970
13.11667,-971
13.12500,-971
13.13333,-972
13.14167,-973
13.15000,-973
13.15833,-974
13.16667,-974
13.17500,-974
13.18333,-975
13.19167,-975
13.20000,-976
13.20833,-976
13.21667,-977
13.22500,-978
13.23333,-978
13.24167,-979
13.25000,-980
13.25833,-981
13.26667,-981
13.27500,-981
13.28333,-982
13.29167,-982
13.30000,-983
13.30833,-983
13.31667,-984
13.32500,-985
13.33333,-986
13.34167,-986
13.35000,-987
13.35833,-987
13.36667,-987
13.37500,-988
13.38333,-988
13.39167,-989
